date,symbol,open,high,low,close,volume
2025-01-11,CRYPTO_BTC,94726.1,95050.94,93831.73,94599.99,7047.9043
2025-01-12,CRYPTO_BTC,94599.99,95450.1,93711.19,94545.06,8606.86622
2025-01-13,CRYPTO_BTC,94545.07,95940.0,89256.69,94536.1,42619.56423
2025-01-14,CRYPTO_BTC,94536.11,97371.0,94346.22,96560.86,27846.61753
2025-01-15,CRYPTO_BTC,96560.85,100681.94,96500.0,100497.35,30509.99179
2025-01-16,CRYPTO_BTC,100497.35,100866.66,97335.13,99987.3,27832.85317
2025-01-17,CRYPTO_BTC,99987.3,105865.22,99950.77,104077.48,39171.85292
2025-01-18,CRYPTO_BTC,104077.47,104988.88,102277.55,104556.23,24307.82998
2025-01-19,CRYPTO_BTC,104556.23,106422.43,99651.6,101331.57,43397.28298
2025-01-20,CRYPTO_BTC,101331.57,109588.0,99550.0,102260.01,89529.231732
2025-01-21,CRYPTO_BTC,102260.0,107240.81,100119.04,106143.82,45941.02002
2025-01-22,CRYPTO_BTC,106143.82,106394.46,103339.12,103706.66,22248.69254
2025-01-23,CRYPTO_BTC,103706.66,106850.0,101262.28,103910.34,53953.12031
2025-01-24,CRYPTO_BTC,103910.35,107120.0,102750.0,104870.5,23609.24017
2025-01-25,CRYPTO_BTC,104870.51,105286.52,104106.09,104746.85,9068.32377
2025-01-26,CRYPTO_BTC,104746.86,105500.0,102520.44,102620.0,9812.51238
2025-01-27,CRYPTO_BTC,102620.01,103260.0,97777.77,102082.83,50758.1341
2025-01-28,CRYPTO_BTC,102082.83,103800.0,100272.68,101335.52,22022.05765
2025-01-29,CRYPTO_BTC,101335.52,104782.68,101328.01,103733.24,23155.35802
2025-01-30,CRYPTO_BTC,103733.25,106457.44,103278.54,104722.94,19374.07472
2025-01-31,CRYPTO_BTC,104722.94,106012.0,101560.0,102429.56,21983.18193
2025-02-01,CRYPTO_BTC,102429.56,102783.71,100279.51,100635.65,12290.95747
2025-02-02,CRYPTO_BTC,100635.66,101456.6,96150.0,97700.59,34619.49939
2025-02-03,CRYPTO_BTC,97700.59,102500.01,91231.0,101328.52,75164.7385
2025-02-04,CRYPTO_BTC,101328.51,101732.31,96150.0,97763.13,40267.98697
2025-02-05,CRYPTO_BTC,97763.14,99149.0,96155.0,96612.43,26233.30444
2025-02-06,CRYPTO_BTC,96612.44,99120.0,95676.64,96554.35,23515.20405
2025-02-07,CRYPTO_BTC,96554.35,100137.99,95620.34,96506.8,31794.22065
2025-02-08,CRYPTO_BTC,96506.8,96880.0,95688.0,96444.74,10147.24294
2025-02-09,CRYPTO_BTC,96444.75,97323.09,94713.0,96462.75,14120.91613
